"GID","GeneticGroup","BRNHT1","DM","DM_white","DM_yellow","HI","logFYLD","logFYLD_lowCMD","logFYLD_nohav5","logFYLD_propHAVpt5","logFYLD_propHAVpt75","logRTNO","logRTNO_lowCMD","logRTNO_nohav5","logRTNO_propHAVpt5","logRTNO_propHAVpt75","logTOPYLD","logTOPYLD_lowCMD","logTOPYLD_nohav5","logTOPYLD_propHAVpt5","logTOPYLD_propHAVpt75","MCMDS","PLTHT","RTSZ","TCHART"
"2013_0002_1:250162042","TMS13F",3.56362711032952,-0.849236532040633,-1.56685967931543,0.522695892148205,-0.0488546345808326,0.0454850006426435,NA,NA,NA,NA,0.0670136949284497,NA,NA,NA,NA,0.191168518533191,NA,NA,NA,NA,-0.461092899981466,-0.912084489762078,-0.0339573845604254,-0.142068557815717
"2013_0002_10:250162051","TMS13F",7.94087515914218,-3.07836597599515,-3.06461972860882,-1.37095947133044,-0.0310817383934416,0.17135195699029,NA,NA,NA,NA,0.183402930298473,NA,NA,NA,NA,0.2626826738863,NA,NA,NA,NA,-0.0761276823964885,4.59872493801634,0.0399963447529305,-0.263385092170882
"2013_0002_11:250162052","TMS13F",-1.2259661392434,-2.00338878062905,-1.91500077058237,-0.476712800134109,-0.0120182905156885,0.167582129742538,NA,NA,NA,NA,0.142651173958327,NA,NA,NA,NA,0.214239029263888,NA,NA,NA,NA,-0.762891730734817,-3.29083851013604,0.301965917066304,-0.183798551318616
"2013_0002_2:250162043","TMS13F",1.20570256330325,-1.35241238528605,-1.59661128885017,-0.562980570681228,0.00752329760233749,0.194658719615803,NA,NA,NA,NA,0.176036940208068,NA,NA,NA,NA,0.13711146187379,NA,NA,NA,NA,-0.811026746785209,-0.638798456323689,0.355106839234007,-0.115508833020053
"2013_0002_3:250162044","TMS13F",-1.2083817179515,1.26336843364463,0.653940011249134,-0.54919831360817,-0.0121906173263173,0.147581811051019,NA,NA,NA,NA,0.168224700116409,NA,NA,NA,NA,0.19289504469806,NA,NA,NA,NA,-0.465742437079866,-0.674537725033299,0.200089987576919,-0.179314066643477
"2013_0002_4:250162045","TMS13F",-4.51952961762199,-0.822083548484979,-0.0584677405493164,-1.11225811904167,-0.0179992950252675,0.11232343789464,NA,NA,NA,NA,0.203252089012825,NA,NA,NA,NA,0.192894945261324,NA,NA,NA,NA,-0.170024847540396,-2.75159632937171,-0.0585746515985813,-0.19577966918784
"2013_0002_5:250162046","TMS13F",2.87663776004176,-1.72174034296399,-2.04868415376252,-0.451059986195353,-0.0245207269069609,0.195675062218422,NA,NA,NA,NA,0.217864412079516,NA,NA,NA,NA,0.241345172359809,NA,NA,NA,NA,-0.297673493333222,-0.505793902659025,-0.0152849657407936,-0.293282124660883
"2013_0002_6:250162047","TMS13F",-0.0539596042859109,-3.83528143407025,-3.50676997554324,0.0847468060178061,0.00679153793367739,0.156837691117232,NA,NA,NA,NA,0.161746317759968,NA,NA,NA,NA,0.187132864979087,NA,NA,NA,NA,-0.167007030281397,-0.929137807782868,0.238620329136462,-0.187342775021117
"2013_0002_7:250162048","TMS13F",1.23376049441564,0.973406102826711,-0.13540738211481,1.30091036640362,-0.0259216963715591,0.128217190965579,NA,NA,NA,NA,0.159601135552557,NA,NA,NA,NA,0.217662384118471,NA,NA,NA,NA,0.635119362289634,0.674488966697484,0.0969272840777301,-0.391257554329849
"2013_0002_8:250162049","TMS13F",-4.61279428082228,-1.13828559548833,-1.39947580151593,-1.58662148779148,0.000864867035118679,0.165634584448817,NA,NA,NA,NA,0.163304020438018,NA,NA,NA,NA,0.144724639771376,NA,NA,NA,NA,0.0261718671642789,-7.77003057582405,-0.0594033188456344,-0.188226530532546
"2013_0002_9:250162050","TMS13F",-0.66122993215163,-0.248069957479875,-0.340071405434257,-1.21255341213326,0.047130837135043,0.214149243490349,NA,NA,NA,NA,0.281064230889581,NA,NA,NA,NA,0.0899383776697401,NA,NA,NA,NA,-0.468472047433349,2.23779736680439,0.126345397192085,-0.218685769180592
"2013_0003_1:250162053","TMS13F",-5.19133279601993,-0.584474995479186,0.388487936076317,-1.14585362656722,-0.0601805474773344,-0.0174818688148418,NA,NA,NA,NA,-0.0926761400871051,NA,NA,NA,NA,0.20229454025294,NA,NA,NA,NA,0.134361623898908,4.85077591800255,0.100278186155853,0.56284492798031
"2013_0003_10:250162062","TMS13F",-9.86313974724085,-0.723870443000968,-0.221558658796512,-0.0743534569882553,0.0135547176496483,-0.0597395742974737,NA,NA,NA,NA,-0.0808028675522807,NA,NA,NA,NA,-0.150051347764423,NA,NA,NA,NA,0.750523758796082,2.65647301290819,-0.219339691858188,-0.215360266851816
"2013_0003_11:250162063","TMS13F",1.17186337944941,0.633625884801021,0.813778044732575,-0.921289624341561,-0.0383191001980507,-0.0558945507830197,NA,NA,NA,NA,-0.0915486624294664,NA,NA,NA,NA,0.0471037293169148,NA,NA,NA,NA,0.254404353906027,9.95515375123926,-0.118410002061123,0.101414315406576
"2013_0003_13:250162065","TMS13F",-4.34063654819171,3.03155443857225,2.51325749792934,1.75846138240714,-0.0225127056472314,-0.0713409029051858,NA,NA,NA,NA,-0.086161898825742,NA,NA,NA,NA,-0.00699197736305252,NA,NA,NA,NA,-0.564944939449652,-2.69192842469778,0.0892621886043988,-0.244393315182708
